quote,entry,rating
Amazing,"Lovely delicious food, beautiful waitress, fantastic service. I have been coming here for years and the flavours are still so good.",5
Best Indian in Bollington ,"Outstanding service and amazing curries ! All the staff were extremely accommodating which made it a lovely experience, thank you",5
Mother's Day treat.,"A terrific return after 15 years to the area.
A wonderful finish to an equally wonderful Mother's Day.",5
Delicious !,"Lovely tasty food.  Great selection and good presentation. Loved the crunchy kale salad. 
Thanks to Mitra for her excellent service 
Highly recommend",5
Loved it!!!!!!!!,"Amazing birthday dinner.  The garlic naan, butter chicken, lamb biryani lovely!   Cocktails are stronggggg and nice.   I’m coming back!!!!!",5
Absolutely exquisite ,"Absolutely exquisite 

Great and varied vegan options.

Highly recommend the calendar salad

Outstanding service in tasteful surroundings",5
Birthday dinner ,Service was amazing tonight. Would definitely recommend! Food was delicious and drinks were on point too.,5
Delicious tasting menu with wonderful service,"Amazing food, we had the set menu and everything was delicious. Plus the experience was made better through wonderful service from Mitre!",5
Great food and excellent service,Food was fantastic and Mitra was really attentive and made us feel at home. Asked for extra hot and it was delicious,5
Must visit,"Great food, attentive service. We had the set menu, it was  a really interesting take on Indian cuisine, would 100% recommend to anyone",5
Beauty is not so esoteric a thing- a review by S. M. Morris,"In Book IX of Paradise Lost, Milton refers to the hand of Eve as 'spot more delicious than those gardens feigned/Or of renowned Alcinous, or revived Adonis'. These classical allusions provide readers with a sense of grounding; Milton's epic-at least to him- stands on the...More",5
Still as good as the first time,This is the second time I have visited this restaurant but the first time was nearly 5 years ago. It was good then and it is even more great now. I feel like the standards are much higher and the service is amazing! The atmosphere...More,5
Extremely disappointing,"The food we ordered was extremely disappointing.  Dishes to avoid: 5 lentil dal (tasteless with no depth), okra curry (just strange), paneer (lacking tang and finesse).  At this price point, head to zone 1 for the taste sensations one has come to expect of Indian...More",1
"Excellent food, great service","I’ve eaten here a few times and can honestly say it’s my favourite Indian restaurant. Authentic flavours, really friendly staff and always a pleasure to eat at!",5
Delicious authentic Indian meal,Delicious food.  Our waitress Mitra  suggestions where spot on.  All the staff were very friendly. All in all a very lovely evening.,5
Ms Marrie,"Staff very friendly and welcoming. Really felt at home.
Food was exceptionally nice. I will be back and will certainly recommend to friends and family.",5
Cute Birthday Meal,"Unbelievable service from Mitra, such a lovely manager. Food was really great, the prawn curry was a personal favourite. Me and another weren’t drinking alcohol and Mitra was kind enough to make us complimentary mocktails. Overall a great experience! Would definitely come back",5
Not to be missed!,"We had a delightful experience at the Bayleaf restaurant in London. We particularly enjoyed the tasting menu, a taste trip though India. Mitra was our host and she was really friendly and helpful. Also, she is really great with kids. We all had a good...More",5
Loads of Gluten free options,I love the experience there. Waiters are friendly and are helpful for people who are celiac. Most of their food are gluten free. I haven’t had any problems so far. Would highly recommend. I have been there more than 10 times and never once did...More,5
Crispy Pakoras,We had platters of crispy chicken and veg Pakoras from Bayleaf for our International Evening event at sch. We were wowed by the taste and flavour. Thank you!,5
Very helpful customer service for our cultural evening !!,"Thank you BayLeaf for the lovely food and customer service for All Saints’ Cultural Evening. The guests loved the food, and the preparation of the food was very quick ! Would recommend for both events and meet-ups !",5
AmaZing food and wonderful staff!!,Had the butter chicken and the scallop moilee was super tasty!! Lovely waiters and waitresses who are very attentive and helpful. Been here several times and would keep coming back :) beautiful decor as well x,5
Best curry in Whetstone,"Amazing food and service!! The mangalorean korri gassi is exceptional, the nann bread was a great mix of soft and crispy. I would definitely recommend a visit.",5
Excellent!,"Fantastic family meal. The food was delicious and the service was exceptional. Mitra was very welcoming, and recommended delicious dishes such as the kale starter. Highly recommend. Thank you!More",5
First time at Bayleaf restaurant,"The staff was very kind and attentive to the customers, especially Mitra! The ambience was perfect and the food was delicious. I Defintiely recommend the dish momo as that was one of the best dumplings I have had. For curries, the butter chicken was amazing....More",5
"Excellent food, service and atmosphere.","I came here for a family meal and can say the food and service were both fantastic. A lady by the name of Mitra took care of our table for the evening, she was so helpful, polite and funny! (The rest of the staff were...More",5
Saturday night out,Had a meal at the Bayleaf.  The food was delicious and we were very well looked after by our friendly waiter Naz.  Definitely recommend,4
Bay leaf is wonderful!,Great food and wonderful service! We had a fabulous birthday meal for my mum and it was a very special evening here,5
Birthday Surprise Dinner,"The waiter Naz,  was amazing and he gave us great food suggestions. The food came promptly and they really surprised me with the birthday treat. 
The staff were also amazing 
I had a great time",5
Exquisito,"If you're looking for an authentic then look no further. We have been wanting to eat at this restaurant for a while and haven't had the chance until today. So glad we did!
It was an absolute experience. The staff were so friendly, kind and...More",5
Mr,"Best authentic experience in London, mostly the quality of food served with authentic Bayleaf way . Don’t miss to share your special moments with Bayleaf and make that a memory.",5
One of my favourite places to eat,"Absolutely adore the bayleaf, amazing food, service and atmosphere. Definitely recommend a visit!!!!",5
Fab evening,"Had a lovely meal, great presentation and very tasty. The service was efficient and very attentive. All in all we had a fab evening.",5
The Bay Leaf,"This restaurant is faultless. 
The decor relaxing and chic. 
The food…. Words cannot describe how wonderful… good quality…. Amazing flavours and always well presented. 
Naz….a wonderful welcome with a smile and genuine warmth. 
Mitra…gorgeous and welcoming….made our experience so delightful 

Thank you…. Recommended to the...More",5
WE WILL BE BACK,We love coming here. The staff are super friendly and the food is delicious. We would like to thank Mitra for her support and light humour. We will be back.More,5
bayleaf,the food was delicious! Our waiter Naz was very friendly and I really enjoyed the momo’s in particular!More,5
D cook,Amazing distinct quality and ambience restaurant. With a focus in north eastern Indian cuisine you can expect all traditional receipes and so much more ! The wine and the restaurant drinks menu will pleasantly surprise you. We were served as a table of two by...More,5
Wonderful Evening,"We had our anniversary dinner here. The food was delicious, the presentation was amazing, and the staff was friendly. Special thanks to Mitra!
Definitely  recommend this restaurant.",5
Best Indian in North London,"Bay leaf NEVER disappoints. Great food, even better service. A must if you like a good lentil or dhal or biryani. 10/10",5
Looking to our next visit.,"New improved menu, lamb dish and nans excellent.  Staff, especially Naz very attentive and service excellent. We look forward to our next visit.More",5
10/10 service food and hospitality.,Excellent place. Great atmosphere. Syed is a top man. Looked after us from start to finish and had chefs make us different dishes we wanted that weren’t on the menu. Will continue to come here. 2018 till now I’ve been visiting Bayleaf and I’ll be...More,5
Excellent restaurant and amazing service,"Excellent restaurant and excellent service. Miz Mitra was a manager who served us kindly and gave us an excellent feeling.  We will definitely return to this restaurant.
Miz Mitra gave us 5 star service + one ❤️",5
"Amazing Indian, deserves to be where it is in the rankings","The food was the tastiest Indian food I’ve had, the depth of flavours was incredible.
The staff were so attentive and explained the dishes to us, they have just put a new chicken dish on  (street food) and it was lush. 
Didn’t come away as...More",5
